,lat,long,name,addr,uri,reviews,num_reviews,loc_type,description,price,zone
2297,40.7950903,-73.94474319999999,PABADE CAFE AND BAKERY,"135 E 110th St, New York, NY 10029, USA",http://www.pabadebakery.com/,Rating: 4.8,11216,Restaurant,"cafe, coffee shop, bakery, sandwich shop, food store, store, restaurant, food",price level very cheap,East Harlem South
2298,40.793450199999995,-73.9436142,A Taste of Seafood,"1980 3rd Ave, New York, NY 10029, USA",http://www.atasteofseafood.com/,Rating: 4.3,6139,Restaurant,"seafood restaurant, restaurant, food",price level moderate,East Harlem South
2299,40.791605,-73.9465809,El Nuevo Caribeno,"1675 Lexington Ave, New York, NY 10029, USA",https://elnuevocarribenony.com/,Rating: 4.1,1854,Restaurant,"meal delivery, breakfast restaurant, seafood restaurant, food delivery, restaurant, food",price level cheap,East Harlem South
2300,40.7985866,-73.9437731,Cocotazo,"1590 Park Ave Cocotazo, New York, NY 10029, USA",http://cocotazocateringllc.com/,Rating: 4.7,9058,Restaurant,"american restaurant, restaurant, food",price level very cheap,East Harlem North
2301,40.7920319,-73.94519939999999,Flames Indian Aroma,"165 E 106th St, New York, NY 10029, USA",https://flamesindianaromanyc.com/,Rating: 4.5,17274,Restaurant,"indian restaurant, restaurant, food",price level moderate,East Harlem South
2302,40.7937539,-73.9427868,Dominos Pizza,"1993 3rd Ave, New York, NY 10029, USA",https://www.dominos.com/en/?utm_source=google&utm_medium=loclist&utm_campaign=localmaps_menutest,Rating: 3.1,11037,Restaurant,"meal delivery, food delivery, pizza restaurant, meal takeaway, restaurant, food",price level cheap,East Harlem North
2303,40.795344199999995,-73.9451555,El Paso Mexican Restaurant Mezcal  Tequila Bar,"123 E 110th St, New York, NY 10029, USA",http://elpasonyc.com/,Rating: 4.1,11364,Restaurant,"mexican restaurant, restaurant, food",price level moderate,East Harlem South
2304,40.7928995,-73.94403729999999,Dunkin,"1964 3rd Ave, New York, NY 10029, USA",https://locations.dunkindonuts.com/en/ny/new-york/1964-3rd-ave/355516?utm_source=google&utm_medium=local&utm_campaign=localmaps&utm_content=355516&y_source=1_MTIxMDc2NzQtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,Rating: 3.9,17003,Restaurant,"coffee shop, donut shop, bagel shop, breakfast restaurant, fast food restaurant, cafe, bakery, food store, meal takeaway, restaurant, food, store",price level cheap,East Harlem South
2305,40.7944009,-73.9429215,Pee Dee Steak House,"2006 3rd Ave, New York, NY 10029, USA",No URL,Rating: 4.1,10954,Restaurant,"steak house, restaurant, food",price level moderate,East Harlem South
2306,40.8034313,-73.99104899999999,Haven Riverfront Restaurant and Bar,"2 Main St, Edgewater, NJ 07020, USA",https://www.havenedgewater.com/,Rating: 4.4,19413,"Restaurant, Bar","american restaurant, seafood restaurant, fine dining restaurant, bar, restaurant, food",price level expensive,
2307,40.8029733,-73.9933331,Madison Cafe  Grill,"4 Pembroke Pl, Edgewater, NJ 07020, USA",http://www.madisoncafeandgrill.com/,Rating: 4.8,2461,Restaurant,"restaurant, food",price level moderate,
2308,40.8002901,-73.9945007,Tim Hortons,"8401 River Rd, North Bergen, NJ 07047, USA",https://locations.timhortons.com/en/nj/north-bergen/8401-river-rd,Rating: 4.6,12660,Restaurant,"coffee shop, cafe, food store, store, food",price level cheap,
2309,40.8035135,-73.9913974,Dunkin,"2 Main St, Edgewater, NJ 07020, USA",https://locations.dunkindonuts.com/en/nj/edgewater/2-main-st/352377?utm_source=google&utm_medium=local&utm_campaign=localmaps&utm_content=352377&y_source=1_MTIxMDY0OTQtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,Rating: 3.5,8103,Restaurant,"coffee shop, bagel shop, donut shop, fast food restaurant, cafe, meal takeaway, breakfast restaurant, bakery, food store, store, restaurant, food",price level cheap,
2310,40.803575599999995,-73.99084510000002,Juice Journey Cafe,"1 Main St, Edgewater, NJ 07020, USA",https://juicejourney.com/,Rating: 4.6,7598,Restaurant,"juice shop, vegan restaurant, vegetarian restaurant, restaurant, food",price level moderate,
2311,40.8029733,-73.9933331,Acai Creation,"4 Pembroke Pl, Edgewater, NJ 07020, USA",http://acaicreation.com/,Rating: 4.5,6749,Restaurant,"restaurant, juice shop, vegan restaurant, vegetarian restaurant, food",price level cheap,
2312,40.8029578,-73.9932659,Plentiful Bowls  Salads,"Located inside Acai Creation, 4 Pembroke Pl, Edgewater, NJ 07020, USA",https://www.plentifulbowls.com/,Rating: 5,4545,Restaurant,"restaurant, food",price level very cheap,
2313,40.8025996,-73.97192199999999,Ellington in the Park,"Riverside Dr &, W 105th St, New York, NY 10025, USA",http://www.ellingtoninthepark.com/,Rating: 4.3,18365,Restaurant,"american restaurant, restaurant, food",price level moderate,Manhattan Valley
2314,40.798128899999995,-73.9696649,Zelmas Caffe,"2661 Broadway, New York, NY 10025, USA",https://www.instagram.com/zelmascaffe/,Rating: 4.5,3977,Restaurant,"cafe, food",price level very cheap,Manhattan Valley
2315,40.7980988,-73.96962529999999,cool fresh juice bar,"2661 Broadway, New York, NY 10025, USA",https://order.online/business/cool-fresh-juice-bar-269721,Rating: 4.9,17349,Restaurant,"juice shop, brunch restaurant, acai shop, brazilian restaurant, tea house, restaurant, food",price level cheap,Manhattan Valley
2316,40.7968172,-73.9706201,Au Jus,"2621 Broadway, New York, NY 10025, USA",https://www.aujusnyc.com/,Rating: 4.1,16298,Restaurant,"barbecue restaurant, restaurant, food",price level moderate,Manhattan Valley
2317,40.7961844,-73.9710304,Lennys Bagels,"2601 Broadway, New York, NY 10025, USA",No URL,Rating: 4.4,16813,Restaurant,"bagel shop, fast food restaurant, bakery, food store, restaurant, food, store",price level cheap,Manhattan Valley
2318,40.8008324,-73.9675901,Mamas TOO Upper West Side,"2750 Broadway, New York, NY 10025, USA",http://mamastoo.com/,Rating: 4.2,9325,Restaurant,"pizza restaurant, meal takeaway, meal delivery, food delivery, restaurant, food",price level cheap,Manhattan Valley
2319,40.8008758,-73.96567759999999,Bnh,"942 Amsterdam Ave, New York, NY 10025, USA",https://www.eatoutpost.app/menus/126fef42-7d6c-442f-b4d4-023990d7f01f,Rating: 4.5,5921,Restaurant,"vietnamese restaurant, restaurant, food",price level moderate,Bloomingdale
2320,40.801110099999995,-73.9682369,Smoke Jazz  Supper Club,"2751 Broadway, New York, NY 10025, USA",http://www.smokejazz.com/,Rating: 4.5,19051,"Night Club, Bar","night club, bar, event venue, restaurant, food",price level moderate,Manhattan Valley
2321,40.8028379,-73.9681172,Fumo Upper West Side,"2791 Broadway, New York, NY 10025, USA",https://www.fumorestaurant.com/location/fumo-upper-west-side/,Rating: 4.4,16154,Restaurant,"italian restaurant, catering service, meal delivery, food delivery, restaurant, food",price level moderate,Bloomingdale
2322,40.8008064,-73.9651925,Nobody Told Me,"951 Amsterdam Ave, New York, NY 10025, USA",http://nobodytoldme.nyc/,Rating: 4.5,8131,"Restaurant, Bar","bar, restaurant, food",price level moderate,Bloomingdale
2323,40.800806,-73.9682423,The Ellington,"2745 Broadway, New York, NY 10025, USA",http://www.theellingtonny.com/,Rating: 4.4,18173,"Restaurant, Bar","american restaurant, wine bar, dessert restaurant, vegetarian restaurant, bar, restaurant, food",price level moderate,Manhattan Valley
2324,40.800059700000006,-73.96562399999999,Mala Town,"929 Amsterdam Ave, New York, NY 10025, USA",https://order.online/business/mala-town-12966877,Rating: 4.9,16269,Restaurant,"chinese restaurant, restaurant, food",price level cheap,Manhattan Valley
